LAT ,LONG,SOG
40.55411,-70.45049,16.9
40.55392,-70.45718,16.9
40.55377,-70.46397,16.9
40.55357,-70.47088,16.9
40.55341,-70.47756,16.9
40.55327,-70.48448,16.9
40.55314,-70.49128,16.9
40.553,-70.49807,16.9
40.55281,-70.50549,16.9
40.5527,-70.51215,16.8
40.55255,-70.51901,16.8
40.55237,-70.52627,16.7
40.5522,-70.533,16.7
40.55203,-70.53985,16.7
40.55189,-70.54662,16.7
40.55174,-70.55334,16.7
40.55157,-70.56007,16.7
40.55139,-70.56679,16.7
40.55119,-70.57349,16.7
40.55101,-70.5801,16.7
40.5509,-70.58694,16.7
40.55078,-70.59367,16.7
40.55064,-70.60038,16.7
40.55055,-70.60711,16.7
40.55042,-70.61495,16.7
40.55033,-70.62179,16.7
40.55024,-70.62842,16.7
40.55009,-70.64015,16.7
40.55,-70.6468,16.7
40.54988,-70.65727,16.6
40.5498,-70.66402,16.6
40.54964,-70.67859,16.6
40.54945,-70.69557,16.7
